xi,psi
1.2614338595895447e-07,5.306318584530345e-08
0.000114017450482784,-0.010233172465964113
0.00045150292283757665,-0.02052454924043068
0.0009831177885986087,-0.03090998774175313
0.0017545770049927079,-0.04134649903117271
0.002796285049282865,-0.051811046090862956
0.004026085822210312,-0.06238377974182674
0.005567908608200334,-0.07295100270779198
0.0073690314561773995,-0.08356702278998118
0.009440969405104749,-0.0942233961773522
0.01176767282072344,-0.10492540368293657
0.014404858177756719,-0.11566020992469372
0.017300391878248167,-0.12643859040296412
0.02046826924850631,-0.1372614630192961
0.023943784696997206,-0.14809804424943063
0.027872345934479625,-0.15883818928306415
0.031941765156882074,-0.16972288645582756
0.03649645352786335,-0.1804881302381005
0.04118933209396003,-0.19139508811363193
0.04640696889695883,-0.2021450519492154
0.05196135962614745,-0.21288433541845153
0.05776677092257909,-0.2236193349677673
0.06383294503404402,-0.23448589341963721
0.07040459945655275,-0.2451481179008641
0.07733125227472204,-0.2557630609550914
0.08464603077182264,-0.26630036746448993
0.09231532227749906,-0.2767751622013561
0.10035974708521644,-0.2871615325933843
0.10835678139026284,-0.29771439334713845
0.11713615337745686,-0.30789398418792
0.12627265036392732,-0.31793974171525363
0.13537362891986948,-0.3280922548417242
0.14528212230256354,-0.3378077140612512
0.15513062589693227,-0.34759898167739056
0.16531205577833674,-0.35717024118966445
0.1758878840670679,-0.3664811584621597
0.18684439964471622,-0.375481203146494
0.19757622081571213,-0.38450103442655714
0.20866415583749465,-0.3931388892546137
0.22024895580532533,-0.40127746653186236
0.23140596389960777,-0.4093518252750137
0.24222621366940356,-0.4172287273860511
0.25334606068598253,-0.42450993667996473
0.2639243940487699,-0.43148428681317963
0.27493509514705305,-0.4376233376243712
0.2844843057249049,-0.44367004455427694
0.29428552759382587,-0.44870263442355585
0.29932733466343864,-0.4516377675046508
0.30243618919684057,-0.4533971340710239
0.30272918640352664,-0.4537385122641535
0.3071424835796832,-0.45524937519769404
0.3097105829525848,-0.45721815075175387
0.31062628791195035,-0.4572815200320095
0.3145252104833065,-0.45902475096938433
0.31599536637723613,-0.46000360638448035
0.3178914210609145,-0.46105127120677425
0.32176415222848487,-0.46277663780598566
0.32524448118085436,-0.46465804449645143
0.3287379348921404,-0.46653425148398586
0.33357576454330307,-0.46760833563997783
0.33723587274925126,-0.46928017057336824
0.3405012831963994,-0.4711638354698846
0.34485136050807963,-0.47245464343854904
0.3489242402040489,-0.4737886459838472
0.3528648313347831,-0.47520723354959626
0.35640588370846693,-0.4768712852371437
0.36078135888644614,-0.4779277424579793
0.3648601747423217,-0.47919440164457816
0.36807376181177,-0.4809336771803827
0.3723602030839901,-0.4819856817780397
0.3766327182419924,-0.4829990162949218
0.3809165795025904,-0.4840190498598327
0.38479748614396936,-0.48519413791501265
0.38888143323170343,-0.48627816704602145
0.3929265370860362,-0.48731675058611534
0.39703527652423,-0.48828872022308323
0.40081298556446265,-0.4894390000509299
0.4050098124977852,-0.49030332685990885
0.4092616343265947,-0.49113343694218403
0.41336367988508593,-0.49195206431891014
0.41768924766927995,-0.492664200430057
0.42178715596858396,-0.49346811521052825
0.42593007278924677,-0.49421572635602073
0.43027621207317734,-0.494803421841127
0.4342514075987083,-0.49560581580875773
0.4389036150211063,-0.4959805381248361
0.4431454680883835,-0.4965010792153004
0.44738701084532373,-0.49702058005214456
0.45168632615805304,-0.49750211037678627
0.4558673738968735,-0.4980034907173241
0.4603735833940603,-0.49827219399004563
0.4645828869310771,-0.49871168558845946
0.4689284940860863,-0.4990053675518844
0.4733433862858507,-0.4992779113695698
0.4777999378226636,-0.49945822862221867
0.4821796634543274,-0.499659894239983
0.48666660844773535,-0.49976612820286404
0.4910981061363815,-0.49990601928349965
0.49550491140959085,-0.4999708513135481
0.5,-0.5
